-;Room heating plant sens. load;Room hum. plant load;System air heating load;Room cooling plant sens. load;Room dehum. plant load;System air sens. clg. load;System air lat. clg. load;Lights electricity;Equip electricity
1;86742;2314;4923;0;0;0;0;0;3375
2;101950;3637;5519;0;0;0;0;0;3375
3;111461;4499;5854;0;0;0;0;0;3375
4;117573;6488;5976;0;0;0;0;0;3375
5;121416;7927;6022;0;0;0;0;0;3375
6;121660;8839;5900;0;0;0;0;0;3375
7;404706;54839;5804;0;0;0;0;4287;3484
8;170267;2189;5892;0;0;0;0;87926;23617
9;96698;32392;28625;0;0;0;0;90430;65090
10;76211;104117;79800;0;0;0;0;94584;72353
11;69113;102507;87120;0;0;0;0;88123;68581
12;70552;95667;67466;0;0;0;0;86742;70499
13;84184;74403;52350;0;0;0;0;86266;42488
14;57099;89098;67828;0;0;0;0;93049;72849
15;61200;100501;76713;0;0;0;0;87531;75964
16;73520;95931;69740;0;0;0;0;87792;64266
17;100005;57006;42193;0;0;0;0;89305;22267
18;158227;19894;17594;0;0;0;0;5275;4725
19;38482;39;6185;0;0;0;0;5275;4725
20;50951;102;5253;0;0;0;0;5275;5400
21;75112;206;5089;0;0;0;0;5275;5400
22;82474;355;4945;0;0;0;0;5275;5400
23;86965;1081;4896;0;0;0;0;3956;4050
24;94035;1751;4924;0;0;0;0;0;3375
25;96559;2307;4877;0;0;0;0;0;3375
26;97681;2722;4815;0;0;0;0;0;3375
27;98048;3499;4723;0;0;0;0;0;3375
28;95998;3098;4509;0;0;0;0;0;3375
29;92577;2426;4264;0;0;0;0;0;3375
30;89663;1800;4050;0;0;0;0;0;3375
31;86905;1540;3928;0;0;0;0;3956;3375
32;106394;1381;3882;0;0;0;0;7522;4725
33;88728;888;4153;0;0;0;0;7522;5250
34;60990;983;11045;0;0;0;0;7522;6004
35;38776;1392;15861;0;0;0;0;4884;8633
36;37847;1405;5726;0;0;0;0;4884;4050
37;44531;784;3047;0;0;0;0;4884;4050
38;48609;560;7062;0;0;0;0;4884;5627
39;55513;905;10273;0;0;0;0;4884;6678
40;68558;896;7314;0;0;0;0;4884;4426
41;78699;776;3718;0;0;0;0;8840;3375
42;65678;661;3041;0;0;0;0;5275;4725
43;68809;502;2995;0;0;0;0;5275;4725
44;70377;796;2934;0;0;0;0;5275;5400
45;71198;945;2888;0;0;0;0;5275;5400
46;72254;740;2888;0;0;0;0;5275;5400
47;76275;651;2980;0;0;0;0;3956;4050
48;84461;1002;3133;0;0;0;0;0;3375
49;87711;1127;3225;0;0;0;0;0;3375
50;89384;1283;3270;0;0;0;0;0;3375
51;90140;1109;3255;0;0;0;0;0;3375
52;91868;995;3316;0;0;0;0;0;3375
53;95449;600;3439;0;0;0;0;0;3375
54;96966;226;3469;0;0;0;0;0;3375
55;97624;453;3546;0;0;0;0;3956;3375
56;100818;314;3591;0;0;0;0;4674;4725
57;96642;322;3555;0;0;0;0;4674;4762
58;90599;144;3581;0;0;0;0;4674;3561
59;85315;0;4032;0;0;0;0;2037;3747
60;82678;0;3832;0;0;0;0;2037;4050
61;90892;6;3923;0;0;0;0;2037;4050
62;108822;2120;4692;0;0;0;0;2037;4161
63;120865;3313;5261;0;0;0;0;2037;4236
64;128289;3263;5171;0;0;0;0;2037;3449
65;127542;3304;4811;0;0;0;0;5993;3375
66;126937;3434;4649;0;0;0;0;5275;4725
67;128405;4195;4677;0;0;0;0;5275;4725
68;126757;4335;4753;0;0;0;0;5275;5400
69;133386;4451;4952;0;0;0;0;5275;5400
70;136204;4002;4982;0;0;0;0;5275;5400
71;135837;4037;4906;0;0;0;0;3956;4050
72;139946;4356;4921;0;0;0;0;0;3375
73;142390;3745;4936;0;0;0;0;0;3375
74;142637;4212;4891;0;0;0;0;0;3375
75;142201;4427;4845;0;0;0;0;0;3375
76;143612;4378;4875;0;0;0;0;0;3375
77;142252;4570;4768;0;0;0;0;0;3375
78;140049;4411;4646;0;0;0;0;0;3375
79;429915;51123;4733;0;0;0;0;4287;3484
80;179022;1019;4915;0;0;0;0;85018;23617
81;104946;3176;14275;0;0;0;0;86684;64601
82;83244;49813;51835;0;0;0;0;86020;69910
83;63446;59648;51820;0;0;0;0;76290;63695
84;39523;67071;50354;0;0;0;0;74661;70499
85;45007;54346;42032;0;0;0;0;72880;42488
86;32366;63503;49150;0;0;0;0;82851;71384
87;44622;74869;53135;144;0;0;0;78866;73521
88;71533;74131;53471;0;0;0;0;83639;63288
89;106940;44580;36599;0;0;0;0;86458;22267
90;179595;14121;15646;0;0;0;0;5275;4725
91;40561;0;5338;0;0;0;0;5275;4725
92;46802;29;4469;0;0;0;0;5275;5400
93;77719;86;4384;0;0;0;0;5275;5400
94;90294;188;4348;0;0;0;0;5275;5400
95;98446;299;4452;0;0;0;0;3956;4050
96;108225;555;4588;0;0;0;0;0;3375
