;0;1;2;3;4;5;6;7
vars;Heating plant sensible load;Cooling + dehum plant load;Lighting gain;Equipment gain;Solar gain;People gain;Humidification plant load;ApSys air supply
A-AF0001 Afvalberging;0.0;4.22340576171875;0.0;0.0;0.0013580046892166138;0.0;0.0;0.0
A-AF0002 Afvalberging;0.0;3.7821188964843753;0.0;0.0;0.0017998369932174683;0.0;0.0;0.0
A-BE0001 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0101 berging;0.0;0.0;0.0;0.0;2.8984349220991137e-05;0.0;0.0;0.0
A-BE0201 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0301 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0401 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0501 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-CO0001 Office;1561.951;108.33753125;554.8103125;203.58;469.769375;203.58;118.1718125;15.181116104125977
A-EH0001 EHBO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0001 Gang;6189.9435;72.981140625;0.0;0.0;248.08420312500002;0.0;0.0;0.0
A-GA00031 Flex desks;651.7271875;919.25325;1122.66125;1425.06;931.4251875;1425.06;655.4174375;240.23475646972656
A-GA0015 Office;735.060375;246.99415625;208.500015625;232.848;896.0622500000001;440.82;154.31325;73.61355590820312
A-GA0016 Office;437.03225000000003;314.28053125;197.785828125;281.88;914.16225;387.58500000000004;130.6577734375;64.93572235107422
A-GA0017 Office;130.08280468750002;71.118921875;198.099015625;281.88;0.04352191925048828;387.58500000000004;116.4801875;70.6732177734375
A-GA0102 Makerspace;4419.9155;1764.843375;2653.4305;814.32;4866.529500000001;814.32;391.363125;85.89469146728516
A-GA0103 Flex desks;901.7832500000001;692.8175625;1122.367625;610.74;1345.0497500000001;610.74;225.35134375;95.57020568847656
A-GA0104 Gang;650.39425;0.9147608032226563;332.409625;0.0;838.598375;0.0;0.0;0.0
A-GA0201 Gang;0.0;0.0;0.0;0.0;0.004508070945739746;0.0;0.0;0.0
A-GA0204 Gang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0240 Gang;22.300830078125;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0401 Gang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-IN0001 Inkom;3932.64025;129.528484375;715.7663125;439.7328125;2031.5555;712.53;0.0;91.90766143798828
