-;Room heating plant sens. load;Room hum. plant load;System air heating load;Room cooling plant sens. load;Room dehum. plant load;System air sens. clg. load;System air lat. clg. load;Lights electricity;Equip electricity
1077;106818;0;4570;0;0;0;0;5275;5400
1078;113385;0;4814;0;0;0;0;5275;5400
1079;121915;0;5043;0;0;0;0;3956;4050
1080;127036;0;5013;0;0;0;0;0;3375
1081;128217;0;4952;0;9;0;0;0;3375
1082;128534;0;4875;0;13;0;0;0;3375
1083;128455;0;4814;0;30;0;0;0;3375
1084;128842;0;4768;0;30;0;0;0;3375
1085;129105;0;4722;0;30;0;0;0;3375
1086;129932;0;4707;0;36;0;0;0;3375
1087;415611;0;4779;0;53;0;0;4287;3484
1088;170478;0;4851;0;55;0;0;84837;20617
1089;93303;0;12549;0;51;0;0;88989;55070
1090;76030;0;50767;0;47;0;0;91415;64180
1091;64836;0;61465;151;49;0;0;85707;64475
1092;53739;0;51329;0;45;0;0;84738;62021
1093;69566;0;43387;0;48;0;0;84849;38510
1094;52502;0;47873;0;55;0;0;93332;58085
1095;55624;0;53252;0;65;0;0;85790;65232
1096;67261;0;52251;0;68;0;0;84530;56499
1097;98812;0;31721;0;66;0;0;86155;19267
1098;173567;0;14197;0;65;0;0;5275;4725
1099;40757;0;5584;0;66;0;0;5275;4725
1100;48458;0;4424;0;63;0;0;5275;5400
1101;78365;0;4385;0;70;0;0;5275;5400
1102;90261;0;4363;0;96;0;0;5275;5400
1103;96253;0;4360;0;115;0;0;3956;4050
1104;101784;0;4267;0;120;0;0;0;3375
1105;101023;0;4082;0;125;0;0;0;3375
1106;101277;0;3990;0;131;0;0;0;3375
1107;102728;0;3974;0;148;0;0;0;3375
1108;103812;0;3943;0;167;0;0;0;3375
1109;103750;0;3867;0;187;0;0;0;3375
1110;102298;0;3729;0;194;0;0;0;3375
1111;388745;0;3647;0;201;0;0;4287;3484
1112;154897;0;3595;0;251;0;0;87684;20617
1113;75501;0;14257;0;289;0;0;88577;55559
1114;29395;0;43476;154;303;0;0;88288;66623
1115;11210;0;49213;1940;193;0;0;81365;69361
1116;12886;0;32820;19571;65;0;0;80351;62021
1117;17968;0;25979;11049;21;0;0;79874;38510
1118;10319;0;32627;24428;6;0;0;86213;59550
1119;9229;0;40131;27227;8;0;0;82628;67675
1120;17613;0;38338;11449;3;0;0;79107;57477
1121;42582;0;22658;0;15;0;0;86962;19267
1122;84840;0;10397;0;37;0;0;5275;4725
1123;24197;0;4080;0;49;0;0;5275;4725
1124;27169;0;3247;0;35;0;0;5275;5400
1125;37014;0;3158;0;12;0;0;5275;5400
1126;46691;0;3108;0;3;0;0;5275;5400
1127;54917;0;3167;0;8;0;0;3956;4050
1128;63469;0;3211;0;15;0;0;0;3375
1129;66980;0;3226;0;24;0;0;0;3375
1130;70836;0;3287;0;37;0;0;0;3375
1131;73166;0;3302;0;46;0;0;0;3375
1132;75032;0;3317;0;25;0;0;0;3375
1133;87337;0;3943;0;40;0;0;0;3375
1134;103597;0;4631;0;69;0;0;0;3375
1135;391287;0;4748;0;57;0;0;4287;3484
1136;142094;0;4783;0;47;0;0;84837;20617
1137;70934;0;19164;0;24;0;0;83976;55070
1138;51452;0;52917;41;2;0;0;90278;64180
1139;42858;0;63144;468;2;0;0;85048;64475
1140;34434;0;54050;0;27;0;0;83825;62021
1141;29402;0;43816;0;22;0;0;78570;38510
1142;15930;0;46377;5105;4;0;0;87640;58085
1143;22424;0;53516;8967;28;0;0;83665;65232
1144;44017;0;53957;29;51;0;0;78703;56499
1145;68427;0;31817;0;48;0;0;86155;19267
1146;132583;0;14044;0;48;0;0;5275;4725
1147;38143;0;5345;0;43;0;0;5275;4725
1148;36337;0;4098;0;38;0;0;5275;5400
1149;54634;0;4017;0;50;0;0;5275;5400
1150;64997;0;3980;0;80;0;0;5275;5400
1151;71138;0;3963;0;96;0;0;3956;4050
1152;79582;0;4053;0;101;0;0;0;3375
1153;83362;0;4143;0;124;0;0;0;3375
1154;85816;0;4143;0;136;0;0;0;3375
1155;86859;0;4096;0;152;0;0;0;3375
1156;87398;0;4035;0;169;0;0;0;3375
1157;88048;0;4004;0;184;0;0;0;3375
1158;89150;0;4004;0;185;0;0;0;3375
1159;374539;0;4097;0;174;0;0;4287;3484
1160;120665;0;4181;0;163;0;0;84118;20617
1161;57639;0;16537;0;170;0;0;83258;55033
1162;39752;0;43054;71;180;0;0;89797;63994
1163;34305;0;43863;559;234;0;0;84776;64103
1164;26041;0;33445;544;266;0;0;84020;62021
1165;31259;0;27336;0;296;0;0;84130;38510
1166;25586;0;30216;2534;361;0;0;92556;57973
1167;31018;0;33420;8013;406;0;0;85012;65046
1168;39054;0;32811;1522;488;0;0;83398;56425
1169;52730;0;19709;0;617;0;0;85437;19267
1170;96892;0;8457;0;682;0;0;5275;4725
1171;27821;0;3143;0;765;0;0;5275;4725
1172;25896;0;2412;0;756;0;0;5275;5400
1173;28386;0;2345;0;776;0;0;5275;5400
1174;33347;0;2342;0;781;0;0;5275;5400
1175;39169;0;2371;0;724;0;0;3956;4050
1176;46718;0;2416;0;692;0;0;0;3375
1177;50499;0;2461;0;696;0;0;0;3375
1178;52453;0;2446;0;702;0;0;0;3375
1179;53112;0;2400;0;744;0;0;0;3375
1180;53989;0;2384;0;860;0;0;0;3375
1181;54748;0;2369;0;911;0;0;0;3375
1182;54884;0;2323;0;955;0;0;0;3375
1183;330367;0;2281;0;985;0;0;4287;3484
1184;107319;0;2280;0;1028;0;0;87684;20617
1185;48897;0;9346;0;1051;0;0;91751;55559
1186;31239;0;29321;96;1084;0;0;94204;66623
1187;20737;0;33698;680;1176;0;0;88300;69361
1188;23167;0;22440;8074;1290;0;0;87586;62021
1189;29996;0;17578;1100;1382;0;0;87696;38510
1190;19213;0;20963;12414;1432;0;0;96122;59550
1191;19644;0;24439;16329;1485;0;0;88816;67675
1192;29446;0;22282;7836;1522;0;0;87378;57477
1193;43571;0;12078;0;1559;0;0;89003;19267
1194;60857;0;5162;0;1590;0;0;5275;4725
1195;16076;0;2051;0;2013;0;0;5275;4725
1196;17960;0;1669;0;4265;0;0;5275;5400
1197;19226;0;1640;0;5421;0;0;5275;5400
1198;20862;0;1638;0;6633;0;0;5275;5400
1199;23623;0;1637;0;5848;0;0;3956;4050
1200;28104;0;1682;0;5203;0;0;0;3375
1201;32420;0;1789;0;4112;0;0;0;3375
1202;37038;0;1987;0;2531;0;0;0;3375
1203;42375;0;2201;0;1384;0;0;0;3375
1204;45838;0;2323;0;1078;0;0;0;3375
1205;49315;0;2460;0;891;0;0;0;3375
1206;53502;0;2659;0;702;0;0;0;3375
1207;55435;0;2812;0;460;0;0;3956;3375
1208;71846;0;2827;0;239;0;0;7522;4725
1209;37196;0;3079;0;155;0;0;7522;5250
1210;9765;0;8241;0;77;0;0;7522;6004
1211;3131;0;11817;0;20;0;0;4884;8633
1212;5555;0;4346;0;3;0;0;4884;4050
1213;8921;0;2267;0;1;0;0;4884;4050
1214;6459;0;5352;0;0;0;0;4884;5627
1215;6532;0;7997;0;0;0;0;4884;6678
1216;12712;0;5932;0;0;0;0;4884;4426
1217;24440;0;3212;0;0;0;0;8840;3375
1218;20901;0;2781;0;22;0;0;5275;4725
1219;36506;0;3026;0;48;0;0;5275;4725
1220;49139;0;3209;0;82;0;0;5275;5400
1221;56464;0;3316;0;104;0;0;5275;5400
1222;59797;0;3301;0;118;0;0;5275;5400
1223;59531;0;3118;0;142;0;0;3956;4050
1224;62342;0;3056;0;144;0;0;0;3375
1225;65572;0;3148;0;169;0;0;0;3375
1226;67014;0;3163;0;186;0;0;0;3375
1227;67681;0;3148;0;177;0;0;0;3375
1228;68703;0;3148;0;170;0;0;0;3375
1229;70489;0;3194;0;152;0;0;0;3375
1230;71847;0;3209;0;176;0;0;0;3375
1231;69793;0;3148;0;193;0;0;3956;3375
