-;Room heating plant sens. load;Room hum. plant load;System air heating load;Room cooling plant sens. load;Room dehum. plant load;System air sens. clg. load;System air lat. clg. load;Lights electricity;Equip electricity
1;86464;2330;4923;0;0;0;0;0;3375
2;101663;3633;5519;0;0;0;0;0;3375
3;111121;4471;5854;0;0;0;0;0;3375
4;117071;6449;5976;0;0;0;0;0;3375
5;120976;7918;6022;0;0;0;0;0;3375
6;121256;8839;5900;0;0;0;0;0;3375
7;404254;54834;5804;0;0;0;0;4287;3484
8;169787;2189;5892;0;0;0;0;88047;23617
9;96332;32507;28624;0;0;0;0;90793;65090
10;75903;104258;79800;0;0;0;0;94947;72353
11;68807;102657;87120;0;0;0;0;88487;68581
12;70225;96052;67466;0;0;0;0;88060;70499
13;82885;74630;52350;0;0;0;0;88060;42488
14;56505;89485;67829;0;0;0;0;94959;72849
15;60825;100779;76713;0;0;0;0;88487;75964
16;73340;96148;69740;0;0;0;0;88155;64266
17;99385;56992;42192;0;0;0;0;89366;22267
18;157354;19802;17593;0;0;0;0;5275;4725
19;38475;39;6185;0;0;0;0;5275;4725
20;50841;103;5253;0;0;0;0;5275;5400
21;74878;206;5089;0;0;0;0;5275;5400
22;82241;355;4945;0;0;0;0;5275;5400
23;86752;1112;4896;0;0;0;0;3956;4050
24;93817;1753;4924;0;0;0;0;0;3375
25;96340;2310;4877;0;0;0;0;0;3375
26;97441;2716;4815;0;0;0;0;0;3375
27;97764;3483;4723;0;0;0;0;0;3375
28;95725;3097;4509;0;0;0;0;0;3375
29;92306;2425;4264;0;0;0;0;0;3375
30;89395;1799;4050;0;0;0;0;0;3375
31;86651;1540;3928;0;0;0;0;3956;3375
32;106128;1378;3882;0;0;0;0;7522;4725
33;88481;891;4153;0;0;0;0;7522;5250
34;60845;996;11045;0;0;0;0;7522;6004
35;38677;1403;15861;0;0;0;0;4884;8633
36;37772;1414;5726;0;0;0;0;4884;4050
37;44443;786;3047;0;0;0;0;4884;4050
38;48479;557;7062;0;0;0;0;4884;5627
39;55389;903;10273;0;0;0;0;4884;6678
40;68367;892;7314;0;0;0;0;4884;4426
41;78457;772;3718;0;0;0;0;8840;3375
42;65446;655;3041;0;0;0;0;5275;4725
43;68596;502;2995;0;0;0;0;5275;4725
44;70172;797;2934;0;0;0;0;5275;5400
45;70999;943;2888;0;0;0;0;5275;5400
46;72059;740;2888;0;0;0;0;5275;5400
