-;Room heating plant sens. load;Room hum. plant load;System air heating load;Room cooling plant sens. load;Room dehum. plant load;System air sens. clg. load;System air lat. clg. load;Lights electricity;Equip electricity
1;88106;0;4923;0;0;0;0;0;3375
2;103204;0;5519;0;0;0;0;0;3375
3;113324;0;5854;0;0;0;0;0;3375
4;119664;0;5976;0;0;0;0;0;3375
5;123106;0;6022;0;0;0;0;0;3375
6;123192;0;5900;0;0;0;0;0;3375
7;402521;0;5804;0;0;0;0;4287;3484
8;176227;0;5892;0;0;0;0;87926;20617
9;97611;0;24584;0;0;0;0;92245;55559
10;77830;0;79959;12;0;0;0;96399;66623
11;66246;0;97148;512;0;0;0;89938;69361
12;67080;0;66592;0;0;0;0;86742;62021
13;84085;0;51694;0;0;0;0;86266;38510
14;58689;0;63370;0;0;0;0;94864;59550
15;58882;0;75776;0;0;0;0;89346;67675
16;72139;0;70714;0;0;0;0;87792;57477
17;103393;0;39629;0;0;0;0;89305;19267
18;165457;0;17012;0;0;0;0;5275;4725
19;38442;0;6633;0;0;0;0;5275;4725
20;52201;0;5254;0;0;0;0;5275;5400
21;76960;0;5089;0;0;0;0;5275;5400
22;83703;0;4945;0;0;0;0;5275;5400
23;87991;0;4896;0;0;0;0;3956;4050
24;95049;0;4924;0;0;0;0;0;3375
25;97814;0;4877;0;0;0;0;0;3375
26;99237;0;4815;0;0;0;0;0;3375
27;99689;0;4723;0;0;0;0;0;3375
28;97528;0;4509;0;0;0;0;0;3375
29;94043;0;4264;0;0;0;0;0;3375
30;91079;0;4050;0;0;0;0;0;3375
31;88292;0;3928;0;0;0;0;3956;3375
32;107740;0;3882;0;0;0;0;7522;4725
33;90077;0;4153;0;0;0;0;7522;5250
34;61998;0;11045;0;0;0;0;7522;6004
35;39610;0;15861;0;0;0;0;4884;8633
36;38541;0;5726;0;0;0;0;4884;4050
37;45253;0;3047;0;0;0;0;4884;4050
38;49376;0;7062;0;0;0;0;4884;5627
39;56233;0;10273;0;0;0;0;4884;6678
40;69695;0;7314;0;0;0;0;4884;4426
41;79997;0;3718;0;0;0;0;8840;3375
42;66852;0;3041;0;0;0;0;5275;4725
43;69918;0;2995;0;0;0;0;5275;4725
44;71454;0;2934;0;0;0;0;5275;5400
45;72245;0;2888;0;0;0;0;5275;5400
46;73308;0;2888;0;0;0;0;5275;5400
47;77344;0;2980;0;0;0;0;3956;4050
48;85480;0;3133;0;0;0;0;0;3375
49;88701;0;3225;0;0;0;0;0;3375
50;90403;0;3270;0;0;0;0;0;3375
51;91164;0;3255;0;0;0;0;0;3375
52;92852;0;3316;0;0;0;0;0;3375
53;96393;0;3439;0;0;0;0;0;3375
54;97884;0;3469;0;0;0;0;0;3375
55;98516;0;3546;0;0;0;0;3956;3375
56;101696;0;3591;0;0;0;0;4674;4725
57;97512;0;3555;0;0;0;0;4674;4762
58;91465;0;3581;0;0;0;0;4674;3561
59;86173;0;4032;0;0;0;0;2037;3747
60;83516;0;3832;0;0;0;0;2037;4050
61;91690;0;3923;0;0;0;0;2037;4050
62;109569;0;4692;0;0;0;0;2037;4161
63;121553;0;5261;0;0;0;0;2037;4236
64;128916;0;5171;0;0;0;0;2037;3449
65;128137;0;4811;0;0;0;0;5993;3375
66;127513;0;4649;0;0;0;0;5275;4725
67;128934;0;4677;0;0;0;0;5275;4725
68;127228;0;4753;0;0;0;0;5275;5400
69;133791;0;4952;0;0;0;0;5275;5400
70;136570;0;4982;0;0;0;0;5275;5400
71;136183;0;4906;0;0;0;0;3956;4050
