;0;1;2;3;4;5;6;7
vars;Heating plant sensible load;Cooling + dehum plant load;Lighting gain;Equipment gain;Solar gain;People gain;Humidification plant load;ApSys air supply
A-AF0001 Afvalberging;0.0;4.2461264648437504;0.0;0.0;0.0013580046892166138;0.0;0.0;0.0
A-AF0002 Afvalberging;0.0;3.7976943359375;0.0;0.0;0.0017998369932174683;0.0;0.0;0.0
A-BE0001 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0101 berging;0.0;0.0;0.0;0.0;2.8984349220991137e-05;0.0;0.0;0.0
A-BE0201 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0301 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0401 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0501 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-CO0001 Office;1562.112125;111.8741953125;554.8103125;203.58;469.769375;203.58;118.15071875;15.181139945983887
A-EH0001 EHBO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0001 Gang;6190.1230000000005;73.316078125;0.0;0.0;248.08420312500002;0.0;0.0;0.0
A-GA00031 Flex desks;651.7985;929.7399375;1122.66125;1425.06;931.4251875;1425.06;655.3810625;240.23583984375
A-GA0015 Office;735.0933125;252.61590625;208.500015625;232.848;896.0622500000001;440.82;154.29409375;73.61373901367188
A-GA0016 Office;437.04540625;317.59546875;197.785828125;281.88;914.16225;387.58500000000004;130.648015625;64.93583679199219
A-GA0017 Office;130.083671875;70.87646875;198.099015625;281.88;0.04352191925048828;387.58500000000004;116.4677265625;70.67330169677734
A-GA0102 Makerspace;4420.294;1785.6970000000001;2653.4305;814.32;4866.529500000001;814.32;391.23746875;85.8962173461914
A-GA0103 Flex desks;901.8796875;701.1975625;1122.367625;610.74;1345.0497500000001;610.74;225.309390625;95.57113647460938
A-GA0104 Gang;650.3976250000001;0.4604027099609375;332.409625;0.0;838.598375;0.0;0.0;0.0
A-GA0201 Gang;0.0;0.0;0.0;0.0;0.004508070945739746;0.0;0.0;0.0
A-GA0204 Gang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0240 Gang;22.300841796875;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0401 Gang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-IN0001 Inkom;3933.2067500000003;138.302765625;715.7663125;439.7328125;2031.5555;712.53;0.0;91.90806579589844
A-IN0002 Inkom;296.861375;1.4292288818359375;0.0;0.0;0.044271728515625004;0.0;0.0;0.0
A-KE0001 Office;764.7063125;43.501015625;424.2815;203.58;0.003520598411560059;203.58;64.23973828125;25.99428939819336
A-KO0006 Koker;0.0;14.050828125;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0101 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0102 Koker;0.0;0.0;0.0;0.0;0.08341110992431641;0.0;0.0;0.0
A-KO0104 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0105 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0106 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0201 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0202 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0205 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0206 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0301 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0302 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0305 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0306 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0401 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0402 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0405 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0406 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0501 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0502 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0505 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0506 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0601 Koker;0.0;6.14224853515625;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0602 Koker;0.0;5.4669267578125;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0606 Koker;0.0;5.4212578125;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0001 Lift;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0101 [TS] Shaft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0201 [TS] Shaft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0301 [TS] Shaft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0401 [TS] Shaft;0.0;0.0;0.0;0.0;0.03670993041992188;0.0;0.0;0.0
A-LI0501 [TS] Shaft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-OF0201 kantoorruimte;2975.4342500000002;3887.0015000000003;5525.779;3664.44;6621.067;3664.44;1349.856125;571.707275390625
A-OF0202 kantoorruimte;2381.6417500000002;4313.804;5915.4905;3868.02;6568.192;3868.02;1650.2171250000001;617.5977783203125
A-OF0203 kantoorruimte;1544.198875;2530.8672500000002;2718.4567500000003;1934.01;5679.7465;1934.01;712.1689375;299.2183837890625
A-OF0204 kantoorruimte;949.3115;2527.5065;2901.6745;2035.8;4277.7385;2035.8;775.7309375;327.2139587402344
A-OF0301 kantoorruimte;2878.3955;3839.467;5498.7335;3664.44;7264.425;3664.44;1224.662375;571.7190551757812
A-OF0302 kantoorruimte;3192.8745;5113.7685;5916.555;3868.02;5230.363;3868.02;2018.3095;617.5870361328125
A-OF0303 kantoorruimte;1477.7035;2918.86125;2726.42475;1934.01;6368.103;1934.01;722.2898125;299.2208557128906
A-OF0304 kantoorruimte;891.0856875000001;2440.7625000000003;2922.8905;2035.8;4072.172;2035.8;716.8863125;327.2215270996094
A-OF0401 kantoorruimte;3054.195;3909.6867500000003;5525.886;3664.44;7623.5665;3664.44;1214.564625;571.7222290039062
A-OF0402 kantoorruimte;3330.6205;5072.555;5922.826;3868.02;5218.1165;3868.02;2004.85275;617.589111328125
A-OF0403 kantoorruimte;1639.762375;2975.08025;2715.685;1934.01;6554.9865;1934.01;712.7998125;299.220703125
A-OF0404 kantoorruimte;1064.859;2539.33725;2898.66125;2035.8;4497.6875;2035.8;699.5175625;327.2234191894531
A-OF0501 kantoorruimte;4605.187;3451.4947500000003;5501.6085;3664.44;7672.8205;3664.44;1138.416375;568.6083374023438
A-OF0502 kantoorruimte;5305.9435;5421.4635;5830.77;3868.02;7137.345;3868.02;1872.946125;613.01416015625
A-OF0503 kantoorruimte;2660.7285;2894.78525;2732.834;1934.01;7368.9885;1934.01;676.2035625;297.46502685546875
A-OF0504 kantoorruimte;2590.515;2927.3545;2799.99575;2035.8;7363.474;2035.8;665.0793125;325.6245422363281
A-SA0101/1 Sanitair;0.0;0.0;0.0;0.0;0.0004190373420715332;0.0;0.0;0.0
A-SA0102 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-SA0103/1 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-SA0201/1 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-SA0202 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-SA0203/1 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-SA0301/1 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-SA0302 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-SA0303/1 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-SA0401/1 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-SA0402 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-SA0403/1 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-SA0501/1 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-SA0502 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-SA0503/1 Sanitair;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-TL0001 technisch lokaal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-TL0101 technisch lokaal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-TL0201 technisch lokaal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-TL0301 technisch lokaal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-TL0401 technisch lokaal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-TL0501 technisch lokaal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-TR0201 [GEN] Stairway;0.0;0.0;0.0;0.0;3.81092019379139e-05;0.0;0.0;0.0
A-TR0202 [GEN] Stairway;0.0;0.0;0.0;0.0;0.0016649162769317627;0.0;0.0;0.0
A-TR0301 [GEN] Stairway;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-TR0302 [GEN] Stairway;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-TR0401 [GEN] Stairway;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-TR0402 [GEN] Stairway;0.0;0.0;0.0;0.0;0.0016649162769317627;0.0;0.0;0.0
A-TR0501 [GEN] Stairway;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-TR0502 [GEN] Stairway;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-TR0602 [GEN] Stairway;0.0;9.0017763671875;0.0;0.0;901.10325;0.0;0.0;0.0
A-TR0603 [GEN] Stairway;0.0;7.46221630859375;0.0;0.0;901.2041875;0.0;0.0;0.0
A0003 A-SA0001/1;0.0;6.8396103515625;0.0;0.0;0.0;0.0;0.0;0.0
A000501 [TS] Shaft;0.0;14.99253125;0.0;0.0;15.554712890625;0.0;0.0;0.0
A0006 [GEN] Stairway;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A0007 [GEN] Stairway;0.0;12.798318359375001;0.0;0.0;0.0;0.0;0.0;0.0
A010001 Afwas;0.0;0.8443612670898437;0.0;0.0;0.2697872314453125;0.0;0.0;0.0
A010002 technisch lokaal;0.0;0.0;0.0;0.0;0.00013953156769275666;0.0;0.0;0.0
A010003 technisch lokaal;0.0;0.0;0.0;0.0;0.009798014640808105;0.0;0.0;0.0
A010004 technisch lokaal;0.0;0.08318694305419921;0.0;0.0;4.96116162109375;0.0;0.0;0.0
A0107 Makerspace;6240.995;3679.46375;5744.7135;1730.43;9321.5;1730.43;681.113375;231.16891479492188
A0113 [GEN] Stairway;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A0114 creative studio;596.520875;81.7787421875;257.036;249.59996875000002;0.0008946920633316041;623.9999375;181.015875;110.09441375732422
