;0;1;2;3;4;5;6;7
vars;Heating plant sensible load;Cooling + dehum plant load;Lighting gain;Equipment gain;Solar gain;People gain;Humidification plant load;ApSys air supply
A-AF0001 Afvalberging;0.0;3.729547119140625;0.0;0.0;0.0018976995944976808;0.0;0.0;0.0
A-AF0002 Afvalberging;0.0;3.40040966796875;0.0;0.0;0.002634005546569824;0.0;0.0;0.0
A-BE0001 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0101 berging;0.0;0.0;0.0;0.0;3.62800844013691e-05;0.0;0.0;0.0
A-BE0201 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0301 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0401 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-BE0501 berging;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-CO0001 Office;1494.419;139.44921875;554.8103125;203.58;579.0748125;203.58;0.0;15.176873207092285
A-EH0001 EHBO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0001 Gang;6076.99;65.1178125;0.0;0.0;305.75525;0.0;0.0;0.0
A-GA00031 Flex desks;615.5621875;1117.847875;1122.66125;1425.06;1145.503375;1425.06;0.0;240.23680114746094
A-GA0015 Office;586.1203125000001;351.10196875;130.5000078125;357.048;1104.767;892.62;0.0;151.0238800048828
A-GA0016 Office;388.12350000000004;432.13993750000003;197.785828125;244.296;1126.0977500000001;610.74;0.0;97.51199340820312
A-GA0017 Office;107.1866796875;90.9804296875;198.099015625;244.296;0.05567583465576172;610.74;0.0;102.32705688476562
A-GA0102 Makerspace;4168.97825;2324.802;2653.4305;814.32;5986.8965;814.32;0.0;85.88146209716797
A-GA0103 Flex desks;849.7871875000001;891.350625;1122.367625;610.74;1654.449;610.74;0.0;95.56866455078125
A-GA0104 Gang;606.9786875;0.254206787109375;332.409625;0.0;1033.1483125;0.0;0.0;0.0
A-GA0201 Gang;0.0;0.0;0.0;0.0;0.005785373687744141;0.0;0.0;0.0
A-GA0204 Gang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0240 Gang;23.803597656250002;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-GA0401 Gang;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-IN0001 Inkom;3767.58325;217.39340625;715.7663125;439.7328125;2502.022;712.53;0.0;91.90933227539062
A-IN0002 Inkom;288.53559375000003;1.159009521484375;0.0;0.0;0.056001766204833985;0.0;0.0;0.0
A-KE0001 Office;733.2795625;50.9688828125;424.2815;203.58;0.004896137237548828;203.58;0.0;25.990732192993164
A-KO0006 Koker;0.0;13.0010244140625;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0101 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0102 Koker;0.0;0.0;0.0;0.0;0.10560488891601563;0.0;0.0;0.0
A-KO0104 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0105 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0106 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0201 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0202 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0205 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0206 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0301 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0302 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0305 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0306 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0401 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0402 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0405 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0406 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0501 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0502 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0505 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0506 Koker;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0601 Koker;0.0;5.89954150390625;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0602 Koker;0.0;5.28003076171875;0.0;0.0;0.0;0.0;0.0;0.0
A-KO0606 Koker;0.0;5.198208984375;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0001 Lift;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0101 [TS] Shaft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0201 [TS] Shaft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0301 [TS] Shaft;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
A-LI0401 [TS] Shaft;0.0;0.0;0.0;0.0;0.045949035644531254;0.0;0.0;0.0
