Level;Number;Name;BARC_SPC_CATEGORY;BARC_SPC_GROUP_CLASS0;BARC_SPC_GROUP_CLASS1;BARC_SPC_KEY;Area;IES_AREA;Volume;IES_OCCUPATION_REAL;IES_OCCUPATION_DESIGN;IES_PROFILE;BARC_REF_ACTIVITY_PEOPLE_SENSIBLE;BARC_REF_ACTIVITY_PEOPLE_LATENT;IES_LIGHT_DENSITY;IES_ILLUMINANCE;BARC_EA_PLUG_EQUIP1_PERAREA;BARC_EA_PLUG_EQUIP1_PERPERSON;BARC_EA_PLUG_EQUIP1_PERROOM;IES_PLUG_TOTAL;IES_PLUG_TOTAL_DENSITY;IES_INT_GAINS_TOTAL_DENSITY;IES_VENTILATION_TYPE;BARC_VENT_SUPPLY_DESIGN;Condition Type;BARC_SPC_HEAT_TEMP_SETPOINT;BARC_SPC_CLG_TEMP_SETPOINT;IES_COMF_RH_MIN;IES_COMF_RH_MAX;IES_HEAT_POWER_DENSITY;IES_COOL_POWER_DENSITY;
01;01.51;inkom;EDUCATIONAL;01;EDU;[EDU] Circulation;30.2;0.0;105.7;0;0;[Education] Training Room;75;40;2;100;1;0;0;30.208;1;3;0;0;Heated;18.0;28.0;0;0;0;0
01;01.41;[GEN] Core;GENERAL;01;EDU;[GEN] Core;140.5;0.0;491.7;0;0;[General] Off;75;40;2;100;0;0;0;0;0;2;0;0;HeatedAndCooled;16.0;99.0;0;0;0;0
01;01.02;Technische Ruimte;TECHNICAL SPACE;01;EDU;[TS] Technical Space;93.7;0.0;327.9;0;0;[General] OFF;75;40;4;200;0;0;0;0;0;4;0;0;Unconditioned;0.0;99.0;0;0;0;0
01;01.05;Berging;TECHNICAL SPACE;01;EDU;[TS] Storage;47.4;0.0;166.1;0;0;[General] OFF;75;40;1;20;0;0;0;0;0;1;0;0;Unconditioned;0.0;99.0;0;0;0;0
01;01.07;Debriefing lokaal 1;EDUCATIONAL;01;EDU;[EDU] VR/AR/MR;27.8;0.0;97.3;12;12;[Education] Training Room;75;40;5;500;10;15;0;457.9288;16.4764818321242;53.8588819976342;0;480;HeatedAndCooled;21.0;25.0;0;0;0;0
02;02.50;Centrale ruimte;GENERAL;02;EDU;[GEN] Reception Hall;369.8;0.0;2366.5;30;30;[Office] Open Office;75;40;10;500;3;0;0;1109.2929;3;19.0849573633804;0;1200;HeatedAndCooled;21.0;25.0;0;0;0;0
02;02.40;[GEN] Core;GENERAL;02;EDU;[GEN] Core;140.1;0.0;896.5;0;0;[General] Off;75;40;2;100;0;0;0;0;0;2;0;0;HeatedAndCooled;16.0;99.0;0;0;0;0
04;04.40;[GEN] Core;GENERAL;04;EDU;[GEN] Core;141.2;0.0;465.9;0;0;[General] Off;75;40;2;100;0;0;0;0;0;2;0;0;HeatedAndCooled;16.0;99.0;0;0;0;0
05;05.40;[GEN] Core;GENERAL;05;EDU;[GEN] Core;141.2;0.0;465.9;0;0;[General] Off;75;40;2;100;0;0;0;0;0;2;0;0;HeatedAndCooled;16.0;99.0;0;0;0;0
06;06.23;[GEN] Core;GENERAL;06;EDU;[GEN] Core;141.2;0.0;465.9;0;0;[General] Off;75;40;2;100;0;0;0;0;0;2;0;0;HeatedAndCooled;16.0;99.0;0;0;0;0
