,Cooling plant sensible load,Heating plant sensible load,AHU Cooling,AHU Heating
281,0,15980,0,10867
282,0,39487,0,3989
283,0,112,0,521
284,0,1038,0,18
285,0,7864,0,9
286,0,16673,0,5
287,0,21063,0,3
288,0,23318,0,2
289,0,24584,0,1
290,0,26141,0,1
291,0,27559,0,1
292,0,27408,0,0
293,0,25451,0,0
294,0,22935,0,0
295,0,174375,0,0
296,0,32782,0,5
297,0,11525,0,4299
298,40,7115,0,14758
299,435,4914,0,16054
300,0,4563,0,12005
301,0,7529,0,9669
302,0,4702,0,10643
303,2205,3917,0,12233
304,402,4916,0,12584
305,0,10166,0,7336
306,0,27630,0,2584
307,0,0,0,337
308,0,355,0,13
309,0,1141,0,6
310,0,3771,0,4
311,0,7298,0,2
312,0,9145,0,1
313,0,9698,0,1
314,0,10328,0,0
315,0,12017,0,0
316,0,14279,0,0
317,0,15935,0,0
318,0,17797,0,0
319,0,169952,0,0
320,0,30529,0,6
321,0,9982,0,5099
322,63,6387,0,16993
323,572,3969,0,18579
324,95,3470,0,14567
325,0,5708,0,11719
326,1441,3555,0,13203
327,3388,3506,0,15854
328,127,4909,0,17414
329,0,10610,0,10780
330,0,30196,0,4033
331,0,105,0,498
332,0,744,0,17
333,0,4360,0,8
334,0,10416,0,5
335,0,14980,0,3
336,0,17373,0,2
337,0,18374,0,1
338,0,19150,0,1
339,0,20276,0,0
340,0,22132,0,0
341,0,23791,0,0
342,0,23497,0,0
343,0,171444,0,0
344,0,32188,0,7
345,0,10828,0,5982
346,56,6919,0,19812
347,603,4349,0,22076
348,0,4085,0,17823
349,0,6985,0,14930
350,33,4177,0,17397
351,1052,3863,0,20489
352,0,5396,0,20541
353,0,11011,0,12172
354,0,32380,0,4519
355,0,138,0,570
356,0,1064,0,21
357,0,7203,0,10
358,0,15029,0,6
359,0,18692,0,4
360,0,20763,0,2
361,0,22948,0,2
362,0,24435,0,1
363,0,24967,0,1
364,0,26015,0,0
365,0,27399,0,0
366,0,28692,0,0
367,0,30194,0,0
368,0,32118,0,0
369,0,28812,0,0
370,0,16449,0,0
371,0,10982,0,0
372,0,8349,0,0
373,0,9604,0,0
374,0,13350,0,0
375,0,18177,0,0
376,0,25816,0,0
377,0,30195,0,0
378,0,34140,0,0
379,0,37871,0,0
380,0,40182,0,0
381,0,41333,0,0
382,0,41824,0,0
383,0,41634,0,0
384,0,41719,0,0
385,0,42835,0,0
386,0,44663,0,0
387,0,45979,0,0
388,0,46441,0,0
389,0,46687,0,0
390,0,46677,0,0
391,0,46606,0,0
392,0,46393,0,0
393,0,41380,0,0
394,0,29279,0,0
395,0,29044,0,0
396,0,32800,0,0
397,0,33901,0,0
398,0,35201,0,0
399,0,36800,0,0
400,0,41082,0,0
401,0,43951,0,0
402,0,45002,0,0
403,0,46917,0,0
404,0,49446,0,0
405,0,50945,0,0
406,0,51833,0,0
407,0,51451,0,0
408,0,50956,0,0
409,0,51042,0,0
410,0,50388,0,0
411,0,49713,0,0
412,0,49530,0,0
413,0,49245,0,0
414,0,49120,0,0
415,0,200676,0,0
416,0,57237,0,7
417,0,22697,0,3461
418,0,16238,0,19766
419,125,12709,0,22765
420,0,10548,0,17660
421,0,15687,0,13714
422,0,9171,0,13893
423,0,6466,0,14496
424,0,7614,0,13256
425,0,17170,0,7339
426,0,37757,0,2557
427,0,0,0,307
428,0,310,0,11
429,0,1761,0,5
430,0,6304,0,3
431,0,11807,0,2
432,0,14821,0,1
433,0,16266,0,1
434,0,16838,0,1
435,0,17557,0,0
436,0,18270,0,0
437,0,18716,0,0
438,0,19255,0,0
439,0,175719,0,0
440,0,33479,0,4
441,0,11821,0,3828
442,45,7099,0,12323
443,420,4722,0,12997
444,20,3941,0,9979
445,0,7049,0,8197
446,491,4365,0,9353
447,3925,3682,0,11016
448,915,4547,0,10902
449,0,9793,0,6212
450,0,28036,0,2371
451,0,0,0,322
452,0,417,0,14
453,0,2010,0,8
454,0,7612,0,5
455,0,13805,0,3
456,0,17399,0,2
457,0,20295,0,1
458,0,22746,0,1
459,0,24060,0,0
460,0,25397,0,0
461,0,26954,0,0
462,0,28437,0,0
463,0,183238,0,0
464,0,40140,0,8
465,0,12747,0,6756
466,197,4521,0,21822
467,1512,2316,0,22704
468,8870,1986,0,16859
469,3432,2974,0,13063
470,10575,1550,0,14171
471,10194,1270,0,16296
472,1591,2971,0,16265
473,0,8493,0,9590
474,0,24464,0,3562
475,0,37,0,464
476,0,439,0,16
477,0,1470,0,8
478,0,6135,0,5
479,0,11435,0,3
480,0,15019,0,2
481,0,18028,0,1
482,0,20409,0,1
483,0,22446,0,1
484,0,23714,0,0
485,0,23444,0,0
486,0,22872,0,0
487,0,171821,0,0
488,0,31534,0,7
489,0,10108,0,5886
490,75,5994,0,18693
491,679,3206,0,19884
492,0,3596,0,16131
493,0,7200,0,13907
494,0,4503,0,15047
495,1255,3783,0,16886
496,27,4683,0,17138
497,0,9522,0,9696
498,0,25953,0,3387
499,0,22,0,413
500,0,404,0,15
501,0,1548,0,7
502,0,6038,0,5
503,0,10725,0,3
504,0,13925,0,2
505,0,16529,0,1
506,0,18510,0,1
507,0,20129,0,1
508,0,21779,0,0
509,0,22792,0,0
510,0,24601,0,0
511,0,176157,0,0
512,0,36394,0,8
513,0,11415,0,7118
514,140,4727,0,22654
515,933,2091,0,23915
516,3090,1715,0,17971
517,0,4332,0,14202
518,1208,3738,0,15549
519,3052,3529,0,17555
520,151,4499,0,18352
521,0,9631,0,11053
522,0,26486,0,3984
523,0,78,0,472
524,0,566,0,17
525,0,2202,0,8
526,0,6706,0,5
527,0,9087,0,3
528,0,10159,0,2
529,0,10599,0,1
530,0,11316,0,1
531,0,12015,0,0
532,0,12992,0,0
533,0,14261,0,0
534,0,15899,0,0
535,0,18109,0,0
536,0,20265,0,0
537,0,19734,0,0
538,0,14867,0,0
539,0,9646,0,0
540,0,4169,0,0
541,0,1019,0,0
542,0,1926,0,0
543,0,5810,0,0
544,0,12994,0,0
545,0,18175,0,0
546,0,21115,0,0
547,0,22570,0,0
548,0,23910,0,0
549,0,26161,0,0
550,0,27979,0,0
551,0,28500,0,0
552,0,29478,0,0
553,0,31622,0,0
554,0,33230,0,0
555,0,33663,0,0
556,0,33959,0,0
557,0,36348,0,0
558,0,38595,0,0
559,0,40530,0,0
560,0,41481,0,0
561,0,35340,0,0
562,0,21357,0,0
563,0,18530,0,0
564,0,14973,0,0
565,0,13690,0,0
566,0,21405,0,0
567,0,29922,0,0
568,0,37435,0,0
569,0,44020,0,0
570,0,47232,0,0
571,0,47874,0,0
572,0,48434,0,0
573,0,48764,0,0
574,0,48169,0,0
575,0,46996,0,0
576,0,45732,0,0
577,0,47556,0,0
578,0,49377,0,0
579,0,48997,0,0
580,0,50236,0,0
581,0,50618,0,0
582,0,49995,0,0
583,0,201648,0,0
584,0,59281,0,7
585,0,24023,0,4292
586,16,16769,0,26751
587,389,7692,0,31325
588,0,5815,0,25000
589,0,9484,0,20592
590,0,5245,0,22518
591,0,6026,0,26232
592,0,9510,0,26004
593,0,21817,0,15041
594,0,55813,0,5493
595,0,355,0,735
596,0,6005,0,27
597,0,25051,0,13
598,0,33246,0,8
599,0,37238,0,5
600,0,39558,0,3
601,0,40921,0,2
602,0,42284,0,1
603,0,45368,0,1
604,0,45710,0,1
605,0,45897,0,0
606,0,47942,0,0
607,0,200309,0,0
608,0,57791,0,11
609,0,19683,0,9322
610,84,10099,0,30327
611,714,3843,0,32406
612,381,3613,0,25332
613,0,5113,0,20239
614,240,3990,0,22016
615,689,4031,0,25374
616,0,6470,0,26342
617,0,17366,0,16213
618,0,51038,0,6208
619,0,487,0,846
620,0,8119,0,31
621,0,29236,0,15
622,0,37562,0,10
623,0,41935,0,6
624,0,45372,0,4
625,0,46815,0,3
626,0,46819,0,2
627,0,47223,0,1
628,0,47883,0,1
629,0,49155,0,0
630,0,49993,0,0
631,0,199616,0,0
632,0,58655,0,12
633,0,21482,0,10123
634,23,14638,0,33369
635,471,8484,0,36248
636,0,6094,0,28310
637,0,10869,0,23233
638,0,7663,0,26649
639,0,7794,0,31843
640,0,10672,0,32161
641,0,22462,0,18583
642,0,67591,0,6716
643,0,688,0,840
644,0,10034,0,29
645,0,27581,0,13
646,0,32833,0,8
647,0,35051,0,5
648,0,36946,0,3
649,0,37367,0,2
650,0,37448,0,1
651,0,37807,0,1
652,0,38161,0,0
653,0,38802,0,0
654,0,39681,0,0
655,0,189687,0,0
656,0,48195,0,9
657,0,16945,0,8206
658,164,6313,0,27228
659,983,3092,0,29273
660,5181,3039,0,22075
661,1529,4102,0,17369
662,6417,2355,0,18913
663,5174,2149,0,22292
664,4,4834,0,23374
665,0,12083,0,13866
666,0,37920,0,5083
667,0,262,0,632
668,0,2190,0,23
669,0,14572,0,11
670,0,21530,0,7
671,0,24276,0,4
672,0,26331,0,3
673,0,29140,0,2
674,0,32311,0,1
675,0,34385,0,1
676,0,36498,0,0
677,0,38635,0,0
678,0,40184,0,0
679,0,190315,0,0
680,0,49391,0,10
681,0,17336,0,9114
682,28,11648,0,29730
683,501,7488,0,32453
684,0,7191,0,25362
685,0,11341,0,20366
686,0,7081,0,21672
687,0,6167,0,24107
688,0,7230,0,23790
689,0,15027,0,13552
690,0,44299,0,4839
691,0,204,0,552
692,0,1507,0,19
693,0,11822,0,10
694,0,20419,0,6
695,0,24220,0,4
696,0,27162,0,3
697,0,30748,0,2
698,0,33603,0,1
699,0,35300,0,1
700,0,37185,0,0
701,0,38802,0,0
702,0,39919,0,0
703,0,41995,0,0
704,0,43492,0,0
705,0,38828,0,0
706,0,27552,0,0
707,0,25598,0,0
708,0,24828,0,0
709,0,23924,0,0
710,0,23118,0,0
711,0,26560,0,0
712,0,34572,0,0
713,0,40955,0,0
714,0,44086,0,0
715,0,45228,0,0
716,0,46094,0,0
717,0,47057,0,0
718,0,48017,0,0
719,0,49272,0,0
720,0,49713,0,0
721,0,48879,0,0
722,0,48564,0,0
723,0,49450,0,0
724,0,49919,0,0
725,0,50299,0,0
726,0,51006,0,0
727,0,51490,0,0
728,0,50500,0,0
729,0,43164,0,0
730,0,30497,0,0
731,0,22662,0,0
732,0,21733,0,0
733,0,25878,0,0
734,0,33248,0,0
735,0,38943,0,0
736,0,42999,0,0
737,0,47208,0,0
738,0,50078,0,0
739,0,51404,0,0
740,0,51586,0,0
741,0,51768,0,0
742,0,51848,0,0
743,0,51834,0,0
744,0,51712,0,0
745,0,50980,0,0
746,0,50694,0,0
747,0,50197,0,0
748,0,49469,0,0
749,0,48943,0,0
750,0,48444,0,0
751,0,200471,0,0
752,0,56147,0,6
753,0,22712,0,3239
754,0,15860,0,19721
755,112,12052,0,23221
756,0,10054,0,18411
757,0,15805,0,15282
758,0,9377,0,16995
759,0,6989,0,19562
760,0,9605,0,19352
761,0,20986,0,11039
762,0,47110,0,4045
763,0,108,0,548
764,0,1405,0,19
765,0,10532,0,9
766,0,20574,0,6
767,0,25039,0,4
768,0,26747,0,2
769,0,27953,0,1
770,0,29068,0,1
771,0,29504,0,1
772,0,29858,0,0
773,0,30454,0,0
774,0,31489,0,0
775,0,187115,0,0
776,0,41019,0,6
777,0,15521,0,5509
778,25,10002,0,18583
779,322,6815,0,20618
780,0,5696,0,16485
781,0,7789,0,13269
782,0,5117,0,14300
783,860,4884,0,16447
784,0,6111,0,16425
785,0,13924,0,9502
786,0,35632,0,3792
787,0,107,0,596
788,0,1249,0,21
789,0,8850,0,10
790,0,17885,0,6
791,0,22169,0,4
792,0,24107,0,2
793,0,24886,0,2
794,0,25987,0,1
795,0,26738,0,1
796,0,27869,0,0
797,0,29939,0,0
798,0,31837,0,0
799,0,186451,0,0
800,0,40566,0,7
801,0,14206,0,6150
802,42,8312,0,20136
803,444,5195,0,21708
804,0,5049,0,16493
805,0,7828,0,13047
806,0,4912,0,13974
807,1165,4075,0,15505
808,99,5078,0,15015
809,0,10723,0,8534
810,0,29583,0,3123
811,0,11,0,420
812,0,398,0,14
813,0,1379,0,7
814,0,4829,0,4
815,0,8879,0,3
816,0,11939,0,2
817,0,13670,0,1
818,0,14815,0,1
819,0,15715,0,0
820,0,16838,0,0
821,0,17602,0,0
822,0,18137,0,0
823,0,170255,0,0
824,0,29163,0,5
825,0,8974,0,4298
826,72,5311,0,14098
827,587,3549,0,15943
828,549,3197,0,12795
829,0,5250,0,9976
830,5223,2613,0,10385
831,11898,1800,0,11177
832,4421,2635,0,10688
833,0,7076,0,6081
834,0,20094,0,2185
835,0,0,0,278
836,0,77,0,10
837,0,415,0,5
838,0,662,0,3
839,0,1903,0,2
840,0,4772,0,1
841,0,8290,0,1
842,0,11245,0,1
843,0,13530,0,0
844,0,15290,0,0
845,0,16614,0,0
846,0,17954,0,0
847,0,167410,0,0
848,0,27889,0,6
849,0,8652,0,5205
850,89,5134,0,18404
851,704,3129,0,22742
852,516,3110,0,19959
853,0,5942,0,17775
854,376,4029,0,20996
855,2005,4100,0,25413
856,0,5603,0,25189
857,0,10853,0,13608
858,0,30348,0,4581
859,0,117,0,557
860,0,744,0,20
861,0,4953,0,10
862,0,11443,0,6
863,0,15397,0,4
864,0,20722,0,3
865,0,23954,0,2
866,0,24639,0,1
867,0,25780,0,1
868,0,24749,0,0
869,0,25683,0,0
870,0,29544,0,0
871,0,30920,0,0
872,0,28651,0,0
873,0,19088,0,0
874,0,8393,0,0
875,0,1705,0,0
876,0,1153,0,0
