,CCA Cooling,Cooling plant sensible load,Radiators,CCA Heating,Heating plant sensible load,AHU Cooling,AHU Heating
8489,3229,3229,18534,16317,34851,0,1796
8490,3250,3250,13468,16274,29742,0,1940
8491,3270,3270,12093,16238,28331,0,1941
8492,3290,3290,8969,16202,25172,0,1943
8493,3309,3309,22893,16173,39067,0,1943
8494,3326,3326,24726,16145,40871,0,1942
8495,3342,3342,25027,16122,41149,0,1942
8496,1709,1709,26451,21510,47961,0,1942
8497,1951,1951,26674,20787,47461,0,1942
8498,2020,2020,27084,20493,47578,0,1942
8499,2068,2068,27741,20263,48004,0,1942
8500,2108,2108,28303,20065,48368,0,1942
8501,2143,2143,28851,19890,48742,0,1957
8502,2174,2174,29391,19734,49125,0,2106
8503,2202,2202,13176,19596,32772,0,1949
8504,2227,2227,11403,19471,30875,0,1797
8505,2250,2250,19509,19356,38866,0,1796
8506,2273,2273,18285,19241,37526,0,1797
8507,2298,2298,17148,19125,36274,0,1798
8508,2323,2323,20950,19014,39965,0,1801
8509,2350,2350,21724,18908,40632,0,1801
8510,2377,2377,22996,18807,41803,0,1802
8511,2404,2404,21845,18716,40562,0,1804
8512,2432,2432,22531,18634,41165,0,1803
8513,2458,2458,22465,18560,41025,0,1803
8514,2484,2484,16222,18493,34715,0,1947
8515,2508,2508,14279,18431,32710,0,1947
8516,2531,2531,10479,18376,28855,0,1944
8517,2553,2553,24780,18325,43105,0,1941
8518,2574,2574,27241,18276,45517,0,1939
8519,2593,2593,28175,18231,46406,0,1937
8520,961,961,29508,25617,55126,0,1937
8521,1164,1164,29311,24988,54299,0,1934
8522,1235,1235,29033,24545,53579,0,1933
8523,1285,1285,30173,24193,54367,0,1935
8524,1328,1328,30708,23886,54594,0,1938
8525,1366,1366,30947,23611,54559,0,1942
8526,1402,1402,30516,23367,53883,0,1945
8527,1434,1434,13485,23142,36628,0,1951
8528,1463,1463,10980,22937,33917,0,1805
8529,1491,1491,18578,22746,41324,0,1805
8530,1519,1519,18558,22563,41121,0,1805
8531,1548,1548,18911,22387,41299,0,1806
8532,1577,1577,23984,22219,46203,0,1808
8533,1605,1605,23057,22055,45113,0,1808
8534,1634,1634,23142,21899,45042,0,1809
8535,1663,1663,22479,21751,44231,0,1810
8536,1692,1692,22909,21611,44521,0,1810
8537,1721,1721,22583,21487,44070,0,1811
8538,1748,1748,16539,21368,37907,0,1955
8539,1775,1775,14818,21258,36077,0,1954
8540,1800,1800,10447,21155,31602,0,1954
8541,1825,1825,23410,21058,44469,0,1954
8542,1849,1849,24804,20962,45767,0,1953
8543,1872,1872,24886,20871,45758,0,1951
8544,1161,1161,27245,24440,51686,0,1951
8545,1299,1299,27756,23867,51623,0,1951
8546,1344,1344,28127,23605,51733,0,1951
8547,1378,1378,27854,23396,51251,0,1951
8548,1408,1408,26798,23208,50006,0,1951
8549,1434,1434,26860,23036,49897,0,1949
8550,1458,1458,27098,22881,49979,0,1947
8551,1479,1479,12022,22737,34760,0,1945
8552,1499,1499,8724,22606,31330,0,1793
8553,1517,1517,14570,22482,37053,0,1790
8554,1536,1536,14940,22359,37299,0,1790
8555,1557,1557,14474,22236,36711,0,1793
