,Cooling plant sensible load,Heating plant sensible load,AHU Cooling,AHU Heating
245,0,34117,0,0
246,0,33959,0,0
247,0,172997,0,0
248,0,68080,0,0
249,0,33699,0,2219
250,0,23641,0,12155
251,0,18945,0,14626
252,0,14877,0,11580
253,0,22368,0,9035
254,0,8674,0,10098
255,0,6939,0,11764
256,0,13644,0,12127
257,0,35248,0,7233
258,0,67171,0,2587
259,0,1605,0,288
260,0,3236,0,19
261,0,12533,0,1
262,0,16425,0,0
263,0,19942,0,0
264,0,22694,0,0
265,0,24583,0,0
266,0,25984,0,0
267,0,26998,0,0
268,0,27848,0,0
269,0,28869,0,0
270,0,30293,0,0
271,0,168509,0,0
272,0,63646,0,7
273,0,29866,0,5377
274,0,16223,0,16865
275,0,10938,0,17412
276,0,7589,0,13470
277,0,11799,0,10881
278,0,8174,0,12319
279,0,9554,0,14075
280,0,12981,0,13948
281,0,29941,0,7756
282,0,60472,0,2720
283,0,1551,0,323
284,0,2565,0,19
285,0,8440,0,1
286,0,12226,0,0
287,0,14219,0,0
288,0,15602,0,0
289,0,16416,0,0
290,0,17544,0,0
291,0,18773,0,0
292,0,18930,0,0
293,0,17553,0,0
294,0,15755,0,0
295,0,151759,0,0
296,0,45605,0,4
297,0,17434,0,3153
298,0,11283,0,10891
299,0,8311,0,11911
300,0,6698,0,8815
301,0,12844,0,6903
302,0,7079,0,7816
303,43,6240,0,9037
304,0,8468,0,9272
305,0,19212,0,5230
306,0,47512,0,1763
307,0,1327,0,211
308,0,1438,0,13
309,0,3366,0,1
310,0,5718,0,0
311,0,6923,0,0
312,0,7350,0,0
313,0,7357,0,0
314,0,7545,0,0
315,0,8384,0,0
316,0,9632,0,0
317,0,10597,0,0
318,0,11639,0,0
319,0,145405,0,0
320,0,42199,0,5
321,0,15292,0,3740
322,0,9101,0,12537
323,0,6423,0,13784
324,0,5061,0,10691
325,0,9315,0,8366
326,0,5487,0,9696
327,338,5612,0,11706
328,0,8460,0,12815
329,0,19837,0,7673
330,0,50744,0,2749
331,0,1386,0,310
332,0,1902,0,17
333,0,6101,0,1
334,0,8662,0,0
335,0,10204,0,0
336,0,11203,0,0
337,0,11699,0,0
338,0,12144,0,0
339,0,12835,0,0
340,0,14104,0,0
341,0,15207,0,0
342,0,15067,0,0
343,0,146304,0,0
344,0,43570,0,6
345,0,16605,0,4389
346,0,9760,0,14616
347,0,7065,0,16378
348,0,5904,0,13081
349,0,11559,0,10658
350,0,6297,0,12777
351,0,6373,0,15132
352,0,9475,0,15126
353,0,20991,0,8667
354,0,52274,0,3081
355,0,1401,0,355
356,0,2404,0,21
357,0,7613,0,1
358,0,10634,0,0
359,0,11926,0,0
360,0,12871,0,0
361,0,14399,0,0
362,0,15363,0,0
363,0,15738,0,0
364,0,16464,0,0
