,Cooling plant sensible load,Heating plant sensible load,AHU Cooling,AHU Heating
263,0,21067,0,3347
264,0,25144,0,3485
265,0,26102,0,3577
266,0,26507,0,3653
267,0,26697,0,3684
268,0,26812,0,3684
269,0,27035,0,3729
270,0,27530,0,3821
271,0,27456,0,3913
272,0,25441,0,3974
273,0,22255,0,3895
274,0,17800,0,3678
275,0,16189,0,3647
276,0,11477,0,4243
277,0,7606,0,4772
278,0,11089,0,4759
279,0,19967,0,4218
280,0,23925,0,3681
281,0,20550,0,3498
282,0,20794,0,3326
283,0,21009,0,3162
284,0,18871,0,3149
285,0,18753,0,3133
286,0,18827,0,3133
287,0,19921,0,3179
288,0,23249,0,3195
289,0,23667,0,3195
290,0,24131,0,3271
291,0,24554,0,3347
292,0,24150,0,3225
293,0,22809,0,2889
294,0,21200,0,2522
295,0,19672,0,2323
296,0,20296,0,2262
297,0,17732,0,2271
298,0,19450,0,2399
299,0,18691,0,2811
300,0,14014,0,2983
301,0,13345,0,3052
302,0,12541,0,3084
303,0,17384,0,2891
304,0,20469,0,2614
305,0,16914,0,2425
306,0,17145,0,2174
307,0,17569,0,2147
308,0,13056,0,2293
309,0,13878,0,2247
310,0,14069,0,2216
311,0,14604,0,2140
312,0,17072,0,1972
313,0,16773,0,1819
314,0,16579,0,1758
315,0,17100,0,1895
316,0,17992,0,2109
317,0,18545,0,2232
318,0,19274,0,2400
319,0,19380,0,2537
320,0,17561,0,2583
321,0,16915,0,2678
322,0,18512,0,2730
323,0,17681,0,2889
324,0,11432,0,3373
325,0,9858,0,3675
326,0,10421,0,3744
327,0,16829,0,3502
328,0,21473,0,3378
329,0,19234,0,3475
330,0,20161,0,3416
331,0,20591,0,3292
332,0,17992,0,3164
333,0,17712,0,3133
334,0,17582,0,3118
335,0,18493,0,3149
336,0,21853,0,3149
337,0,22001,0,3088
338,0,21957,0,3057
339,0,22121,0,3088
340,0,22734,0,3225
341,0,23326,0,3332
342,0,22889,0,3195
343,0,21773,0,3057
344,0,19814,0,3103
345,0,19367,0,3149
346,0,20714,0,3183
347,0,19909,0,3433
348,0,13914,0,4126
349,0,13362,0,4680
350,0,12938,0,4934
351,0,19313,0,4530
352,0,23584,0,3989
353,0,20930,0,3918
354,0,21524,0,3802
355,0,21861,0,3632
356,0,19966,0,3684
357,0,20046,0,3714
358,0,20014,0,3714
359,0,20714,0,3653
360,0,24029,0,3638
361,0,24902,0,3745
362,0,25129,0,3760
363,0,25001,0,3699
364,0,25217,0,3729
365,0,25636,0,3821
366,0,26035,0,3882
367,0,24909,0,3989
368,0,24222,0,4173
369,0,22273,0,4168
370,0,16013,0,3979
371,0,14061,0,3770
372,0,12015,0,3618
373,0,13078,0,3500
374,0,15271,0,3639
375,0,17701,0,3871
376,0,22184,0,3847
377,0,21501,0,3751
378,0,21573,0,3974
379,0,22938,0,4249
380,0,23297,0,4402
381,0,23593,0,4463
382,0,23601,0,4448
383,0,24210,0,4387
384,0,27523,0,4371
385,0,28323,0,4417
386,0,29098,0,4555
387,0,29630,0,4647
388,0,29743,0,4647
389,0,29759,0,4647
390,0,29625,0,4616
391,0,27814,0,4570
392,0,28968,0,4555
393,0,25002,0,4555
394,0,19528,0,4506
395,0,20211,0,4910
396,0,22968,0,4637
397,0,23221,0,4300
398,0,23155,0,4435
399,0,23496,0,4695
400,0,26392,0,4619
401,0,25037,0,4315
402,0,24460,0,4206
403,0,25150,0,4387
404,0,22199,0,4570
405,0,24321,0,4662
406,0,24876,0,4708
407,0,25618,0,4616
408,0,28895,0,4524
409,0,29306,0,4509
410,0,29027,0,4417
411,0,28704,0,4326
412,0,28596,0,4280
413,0,28435,0,4219
414,0,28358,0,4173
415,0,27706,0,4111
416,0,27793,0,3928
417,0,24513,0,3696
